typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;metodika
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;38;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;130;100;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;131;2;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;10;NA;NA;hodnocení dílčích parametrů;dobrý;setrvalý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0414127;Hradiště;Triturus cristatus;1166;2022-05-07;2024-08-22;Krajský úřad Ústeckého kraje, Újezdní úřad Hradiště, Krajský úřad Karlovarského kraje, AOPK ČR - RP SCHKO Slavkovský les;27;37.5;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0414127;Hradiště;Triturus cristatus;1166;2022-05-07;2024-08-22;Krajský úřad Ústeckého kraje, Újezdní úřad Hradiště, Krajský úřad Karlovarského kraje, AOPK ČR - RP SCHKO Slavkovský les;21;4;NA;adulti;nehodnocen;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0414127;Hradiště;Triturus cristatus;1166;2022-05-07;2024-08-22;Krajský úřad Ústeckého kraje, Újezdní úřad Hradiště, Krajský úřad Karlovarského kraje, AOPK ČR - RP SCHKO Slavkovský les;22;40;NA;adulti;nehodnocen;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0414127;Hradiště;Triturus cristatus;1166;2022-05-07;2024-08-22;Krajský úřad Ústeckého kraje, Újezdní úřad Hradiště, Krajský úřad Karlovarského kraje, AOPK ČR - RP SCHKO Slavkovský les;80;37.5;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0414127;Hradiště;Triturus cristatus;1166;2022-05-07;2024-08-22;Krajský úřad Ústeckého kraje, Újezdní úřad Hradiště, Krajský úřad Karlovarského kraje, AOPK ČR - RP SCHKO Slavkovský les;30;43.75;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0414127;Hradiště;Triturus cristatus;1166;2022-05-07;2024-08-22;Krajský úřad Ústeckého kraje, Újezdní úřad Hradiště, Krajský úřad Karlovarského kraje, AOPK ČR - RP SCHKO Slavkovský les;31;96.88;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
