"SITECODE";"NAZEV";"HABITAT_CODE";"DATE_MIN";"DATE_MAX";"PAR_NAZEV";"PAR_HODNOTA";"ROK_HODNOCENI"
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"W_AREA_PERC";"2.183";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"PASEKY_AREA_HA";NA;2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"PASEKY_AREA_PERC";NA;2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"DEGRAD_AREA_HA";"0.009";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"DEGRAD_AREA_PERC";"2.183";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"PERC_0";"0";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"PERC_1";"0";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"PERC_2";"100";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"ROZLOHA";"0.668";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"KVALITA";"1";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"TYPICKE_DRUHY";"3";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"REPRE";"2";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"REPRE_SDF";"3";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"CONSERVATION";"1";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"DEGREE_OF_CONSERVATION";"100";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"MRTVE_DREVO";NA;2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"KALAMITA_POLOM";NA;2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"RELATIVE_AREA_PERC";"0";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"EVL_AREA_PERC";"17.89";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"GOOD_DOC_AREA_HA";"0.668";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"W_AREA_HA";"0";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"W_AREA_PERC";"0";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"PASEKY_AREA_HA";NA;2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"PASEKY_AREA_PERC";NA;2024
