kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0323169,Bombina variegata,amp70/l,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/m,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/n,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/o,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/p,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/q,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/r,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/s,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/t,6243b,2019-06-06,2021-07-13
CZ0323169,Bombina variegata,amp70/u,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/v,6243b,2019-06-06,2021-07-13
CZ0323169,Bombina variegata,amp70/w,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/x,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/y,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/z,6243b,2019-06-06,2024-07-03
CZ0323478,Bombina variegata,CZ0323478,6545b,2015-06-02,2019-09-10
CZ0323478,Bombina variegata,CZ0323478,6546a,2014-07-16,2024-07-14
CZ0323826,Bombina variegata,CZ0323826,6345b,2012-06-17,2022-07-29
CZ0323826,Bombina variegata,CZ0323826_01,6345b,2022-05-10,2024-07-24
CZ0323826,Bombina variegata,CZ0323826_02,6345b,2022-05-10,2024-07-24
CZ0323826,Bombina variegata,CZ0323826_03,6345b,2022-05-10,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_04,6345b,2022-05-10,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_05,6345b,2022-05-10,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_06,6345b,2022-05-10,2024-07-24
CZ0323826,Bombina variegata,CZ0323826_07,6345b,2022-05-10,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_08,6345b,2022-05-10,2024-07-24
CZ0323826,Bombina variegata,CZ0323826_09,6345b,2022-05-10,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_10,6345b,2022-05-10,2024-07-24
CZ0323826,Bombina variegata,CZ0323826_11,6345b,2022-05-10,2024-07-24
CZ0323826,Bombina variegata,CZ0323826_12,6345b,2022-05-10,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_13,6345b,2022-05-10,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_14,6345b,2022-05-10,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_15,6345b,2022-05-10,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_16,6345b,2022-05-10,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_17,6345b,2022-05-10,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_18,6345b,2022-05-10,2022-06-28
CZ0323826,Bombina variegata,CZ0323826_19,6345b,2022-05-10,2022-08-29
CZ0323826,Bombina variegata,CZ0323826_20,6345b,2022-05-10,2022-08-29
CZ0323826,Bombina variegata,CZ0323826_21,6345b,2022-05-10,2022-08-29
CZ0323826,Bombina variegata,CZ0323826_22,6345b,2024-05-15,2024-07-24
CZ0323826,Bombina variegata,amp65,6345b,2019-05-01,2021-05-30
CZ0413190,Osmoderma barnabita,CZ0413190,5743b,2018-10-03,2018-10-03
CZ0420021,Osmoderma barnabita,CZ0420021,5545c,2015-10-01,2015-10-01
CZ0423202,Osmoderma barnabita,CZ0423202,5449c,2021-05-23,2021-05-23
CZ0423210,Osmoderma barnabita,CZ0423210,5349c,2015-10-01,2025-03-02
CZ0423213,Osmoderma barnabita,CZ0423213,5546b,2025-03-02,2025-03-02
CZ0423217,Osmoderma barnabita,CZ0423217,5746a,2013-09-23,2014-03-20
CZ0423217,Osmoderma barnabita,CZ0423217,5746c,2013-09-23,2014-11-13
CZ0423223,Osmoderma barnabita,CZ0423223,5846d,2015-05-17,2022-08-06
CZ0423224,Osmoderma barnabita,CZ0423224,5451a,2013-12-11,2022-11-28
CZ0423233,Osmoderma barnabita,CZ0423233,5548d,2020-04-18,2020-04-29
CZ0424125,Bombina variegata,amp107,5845b,2024-04-15,2024-04-15
CZ0424127,Osmoderma barnabita,CZ0424127,5446d,2014-09-28,2014-09-28
CZ0424127,Osmoderma barnabita,CZ0424127,5447a,2014-07-17,2021-10-10
CZ0424138,Osmoderma barnabita,CZ0424138,5550d,2018-10-26,2018-10-26
CZ0513255,Osmoderma barnabita,CZ0513255,5454a,2023-07-24,2023-07-24
CZ0513505,Osmoderma barnabita,CZ0513505,5251b,2017-03-28,2017-03-28
CZ0513508,Osmoderma barnabita,BROUCI254,5353c,2021-06-30,2021-06-30
CZ0513508,Osmoderma barnabita,CZ0513508,5353c,2012-05-25,2021-06-30
CZ0514042,Osmoderma barnabita,BROUCI115,5354c,2022-11-29,2022-11-29
CZ0514042,Osmoderma barnabita,BROUCI348,5454b,2023-06-27,2023-06-27
CZ0514042,Osmoderma barnabita,CZ0514042,5353c,2013-07-17,2021-06-30
CZ0514042,Osmoderma barnabita,CZ0514042,5354c,2014-07-13,2014-07-13
CZ0514042,Osmoderma barnabita,CZ0514042,5453b,2014-07-23,2019-11-27
CZ0514042,Osmoderma barnabita,CZ0514042,5454a,2015-07-23,2021-07-30
CZ0514042,Osmoderma barnabita,CZ0514042,5454b,2017-05-07,2017-05-07
CZ0514243,Osmoderma barnabita,235,5454c,2012-08-01,2014-07-23
CZ0514243,Osmoderma barnabita,CZ0514243,5454c,2012-08-01,2020-07-25
CZ0514670,Osmoderma barnabita,758655,5352d,2017-07-18,2017-07-18
