kod_chu,DRUH,KOD_LOKAL,POLE,POSLEDNI_NALEZ
CZ0314024,Lampetra planeri,SUM_LP_039_Šumava,6746d,2023-09-06
CZ0314024,Lampetra planeri,SUM_LP_040_Šumava,6846b,2023-09-07
CZ0314024,Lampetra planeri,SUM_LP_041_Šumava,6847c,2023-09-07
CZ0314024,Lampetra planeri,SUM_LP_042_Šumava,6847c,2023-09-12
CZ0314024,Lampetra planeri,SUM_LP_043_Šumava,7350a,2023-10-05
CZ0314024,Lampetra planeri,SUM_LP_044_Šumava,7350a,2023-10-05
CZ0314024,Lampetra planeri,SUM_LP_045_Ostružná,6745d,2023-09-12
CZ0314024,Lampetra planeri,SUM_LP_046_Šumava,7050d,2023-10-03
CZ0314024,Lampetra planeri,SUM_LP_047_Šumava,7050d,2023-10-03
CZ0314024,Lampetra planeri,Teplá Vltava a Zelenohorský p.,7047b,2018-10-15
CZ0314024,Lampetra planeri,Teplá Vltava a Zelenohorský p.,7048a,2018-10-15
CZ0314024,Lampetra planeri,Teplá Vltava a Zelenohorský p.,7048c,2018-10-15
CZ0314024,Lampetra planeri,Šumava,6744d,2021-10-27
CZ0314024,Lampetra planeri,Šumava,6745a,2021-10-27
CZ0314024,Lampetra planeri,Šumava,6745b,2020-09-26
CZ0314024,Lampetra planeri,Šumava,6745c,2020-09-26
CZ0314024,Lampetra planeri,Šumava,6745d,2021-10-27
CZ0314024,Lampetra planeri,Šumava,6746d,2020-09-27
CZ0314024,Lampetra planeri,Šumava,6845a,2021-10-27
CZ0314024,Lampetra planeri,Šumava,6845b,2021-09-19
CZ0314024,Lampetra planeri,Šumava,6845c,2021-10-27
CZ0314024,Lampetra planeri,Šumava,6845d,2021-10-27
CZ0314024,Lampetra planeri,Šumava,6846a,2021-10-27
CZ0314024,Lampetra planeri,Šumava,6846c,2021-09-19
CZ0314024,Lampetra planeri,Šumava,6846d,2021-09-19
CZ0314024,Lampetra planeri,Šumava,6847a,2020-09-28
CZ0314024,Lampetra planeri,Šumava,6847c,2021-10-27
CZ0314024,Lampetra planeri,Šumava,6946b,2021-09-18
CZ0314024,Lampetra planeri,Šumava,6947b,2020-10-28
CZ0314024,Lampetra planeri,Šumava,6947d,2021-09-18
CZ0314024,Lampetra planeri,Šumava,6948a,2020-10-28
CZ0314024,Lampetra planeri,Šumava,6948c,2021-10-27
CZ0314024,Lampetra planeri,Šumava,6948d,2021-10-27
CZ0314024,Lampetra planeri,Šumava,6949c,2020-10-28
CZ0314024,Lampetra planeri,Šumava,6949d,2020-10-28
CZ0314024,Lampetra planeri,Šumava,7048a,2021-10-28
CZ0314024,Lampetra planeri,Šumava,7048c,2021-09-18
CZ0314024,Lampetra planeri,Šumava,7048d,2020-10-29
CZ0314024,Lampetra planeri,Šumava,7050d,2020-10-29
CZ0314024,Lampetra planeri,Šumava,7148b,2021-09-18
CZ0314024,Lampetra planeri,Šumava,7149a,2021-09-18
CZ0314024,Lampetra planeri,Šumava,7149b,2022-10-26
CZ0314024,Lampetra planeri,Šumava,7149d,2022-09-11
CZ0314024,Lampetra planeri,Šumava,7249b,2020-10-28
CZ0314024,Lampetra planeri,Šumava,7249d,2020-10-30
CZ0314024,Lampetra planeri,Šumava,7250a,2020-10-29
CZ0314024,Lampetra planeri,Šumava,7350a,2020-10-30
CZ0314024,Lampetra planeri,Šumava,7350b,2020-10-30
CZ0314024,Lampetra planeri,Šumava,7350c,2021-10-29
CZ0314024,Lampetra planeri,Šumava,7350d,2021-10-29
CZ0314024,Lampetra planeri,Šumava,7450b,2021-10-29
CZ0314024,Lampetra planeri,Šumava,7451a,2021-10-29
CZ0314123,Bombina variegata,CZ0314123,7150b,2020-10-03
CZ0314123,Bombina variegata,CZ0314123,7151c,2019-08-13
CZ0314123,Bombina variegata,amp330,7150b,2024-07-12
CZ0314123,Bombina variegata,amp331,7151c,2021-09-03
CZ0314123,Bombina variegata,amp344,7151c,2024-07-12
CZ0314123,Lampetra planeri,CZ0314123,7149d,2022-06-02
CZ0314123,Lampetra planeri,CZ0314123,7151a,2014-10-17
CZ0314124,Bombina variegata,CZ0314124,7151d,2016-05-31
CZ0314124,Lampetra planeri,BLL_LP_001_Blanský les,7052c,2023-10-29
CZ0314124,Lampetra planeri,BLL_LP_002_Blanský les,7152a,2023-10-29
CZ0314124,Lampetra planeri,BLL_LP_003_Blanský les,7152a,2023-10-29
CZ0314124,Lampetra planeri,BLL_LP_004_Blanský les,7152a,2023-10-29
CZ0314124,Lampetra planeri,BLL_LP_005_Blanský les,7152c,2023-10-28
CZ0314124,Lampetra planeri,BLL_LP_006_Blanský les,7152c,2023-10-28
CZ0314124,Lampetra planeri,BLL_LP_007_Blanský les,7151d,2023-10-28
